Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nicaragua,3.001600027,,2.391010046,2.422009945,,,,,,,4.484240055,,,,4.0832901,4.078430176,4.081140041,4.357699871,4.46999979,4.599999905,4.630000114,
Netherlands,4.585120201,4.699649811,4.805900097,5.040420055,5.062970161,5.109399796,5.044020176,4.886829853,5.029049873,5.43156004,5.489089966,5.463039875,5.410220146,5.52655983,5.458899975,5.34815979,5.479599953,5.17509985,5.357649803,,,
Norway,6.467269897,6.830629826,7.437290192,7.416359901,7.298270226,6.865069866,6.382760048,6.534399986,6.285220146,7.10337019,6.746339798,6.454520226,7.374700069,7.485350132,7.695040226,7.569330215,8.030550003,7.911980152,7.644110203,,,
Nepal,2.975150108,3.708379984,3.152839899,3.11435008,3.171940088,3.364639997,3.605360031,3.517210007,3.805170059,4.663760185,3.631720066,3.842619896,3.29008007,3.018110037,3.47213006,3.25902009,3.903209925,4.76722002,4.43445015,4.239999771,4.389999866,
New Zealand,,6.560490131,6.406990051,6.437530041,6.512030125,6.278960228,5.95276022,5.919650078,5.511449814,6.288169861,7.000390053,6.939690113,7.159930229,6.701550007,6.342430115,6.325059891,6.411789894,6.259739876,6.048500061,,,
Oman,3.200239897,4.020319939,4.325069904,3.896990061,4.02835989,3.517210007,3.859339952,,,4.187739849,,,,4.98458004,,,,5.840189934,5.207230091,5.413209915,,
Pakistan,1.837820053,,,,1.767590046,2.049720049,2.395509958,2.635270119,2.746229887,2.59078002,2.286870003,2.221750021,2.13628006,2.493439913,2.465929985,2.650019884,3.002919912,2.89951992,,2.507550001,,
Panama,4.759689808,4.105879784,4.1916399,4.168700218,3.578660011,,,,3.50229001,,,3.159009933,,3.400000095,,2.836289883,2.846080065,2.882240057,2.88293004,3.127360106,3.906071424,
Peru,3.228029966,3.037120104,2.820569992,2.937799931,2.957870007,2.839030027,2.652810097,2.629400015,2.867749929,3.139940023,2.867300034,2.663500071,2.92276001,3.297290087,3.695990086,3.969330072,3.813169956,3.931309938,3.714299917,3.819960117,4.246679783,
Philippines,3.164400101,2.92463994,2.89222002,2.935179949,2.469830036,2.328069925,2.425790071,2.485179901,2.582829952,2.537770033,2.309999943,,,3.019999981,2.789999962,3.329999924,3.569999933,4.400000095,3.133100033,3.234369993,3.880000114,
Papua New Guinea,,,,,,,,,,,,,,,,,,1.964930058,1.874830008,,,
